# Used for database: https://www.ncnr.nist.gov/resources/n-lengths/
#MCNPcode	Isotope	Abundance	Scat_xsect	Abs_xsect	molar_mass  xi
1001.70c	$H	1	82.02	0.3326	1.008	1
5010.70c	$B-10	0.199	3.1	3835	10.811	0.174079903
5011.70c	$B-11	0.801	5.77	0.0055	10.811	0.174079903
6012.70c	$C-12	0.989	5.559	0.00353	12.011	0.157632332
6013.70c	$C-13	0.011	4.84	0.00137	12.011	0.157632332
6000.70c	$C	1.00	5.551	0.0035	12.011	0.157632332
7014.70c	$N-14	0.9963	11.53	1.91	14.007	0.13621926
7015.70c	$N-15	0.0037	5.21	0.000024	14.007	0.13621926
7000.70c	$N	1.00	11.51	1.90	14.007	0.13621926
8016.70c	$O	1	4.232	0.00019	15.999	0.119953842
11023.70c	$Na-23	1	3.28	0.53	22.99	0.084524689
12024.70c	$Mg-24	0.7899	4.03	0.05	24.305	0.080075462
12025.70c	$Mg-25	0.1	1.93	0.19	24.305	0.080075462
12026.70c	$Mg-26	0.1101	3	0.0382	24.305	0.080075462
13027.70c	$Al	1	1.503	0.231	26.982	0.072325018
13027.70c	$Al-27	1	1.503	0.231	26.982	0.072325018
14028.70c	$Si-28	0.92223	2.12	0.177	28.085	0.069551249
14029.70c	$Si-29	0.04685	2.78	0.101	28.085	0.069551249
14030.70c	$Si-30	0.03092	2.64	0.107	28.085	0.069551249
15031.70c	$P-31	1	3.312	0.172	30.974	0.06320238
15031.70c	$P	1	3.312	0.172	30.974	0.06320238
16032.70c	$S-32	0.9493	0.988	0.54	32.06	0.061105555
16033.70c	$S-33	0.0076	3.1	0.54	32.06	0.061105555
16034.70c	$S-34	0.0429	1.52	0.227	32.06	0.061105555
16036.70c	$S-36	0.0002	1.1	0.15	32.06	0.061105555
17035.70c	$Cl-35	0.7576	21.8	44.1	35.45	0.055371145
17037.70c	$Cl-37	0.2424	1.19	0.433	35.45	0.055371145
19039.70c	$K	0.932581	2.01	2.1	39.098	0.050292215
19039.70c	$K-39	0.932581	2.01	2.1	39.098	0.050292215
19040.70c	$K-40	0.000117	1.6	35.8	39.098	0.050292215
19041.70c	$K-41	0.067302	1.2	1.46	39.098	0.050292215
18036.70c	$Ar-26	0.00337	77.9	5.2	39.948	0.049239832
18038.70c	$Ar-28	0.00063	1.5	0.8	39.948	0.049239832
18040.70c	$Ar-40	0.996	0.421	0.66	39.948	0.049239832
20040.70c	$Ca-40	0.96941	2.9	0.41	40.078	0.04908275
20042.70c	$Ca-42	0.00647	1.42	0.68	40.078	0.04908275
20043.70c	$Ca-43	0.00135	0.8	6.2	40.078	0.04908275
20044.70c	$Ca-44	0.02086	0.25	0.88	40.078	0.04908275
20046.70c	$Ca-46	0.00004	1.6	0.74	40.078	0.04908275
20048.70c	$Ca-48	0.00187	0.019	1.09	40.078	0.04908275
22046.70c	$Ti-46	0.0825	3.05	0.59	47.867	0.041206493
22047.70c	$Ti-47	0.0744	3.2	1.7	47.867	0.041206493
22048.70c	$Ti-48	0.7372	4.65	7.84	47.867	0.041206493
22049.70c	$Ti-49	0.0541	3.4	2.2	47.867	0.041206493
22050.70c	$Ti-50	0.0518	4.8	0.179	47.867	0.041206493
24050.70c	$Cr-50	0.04345	2.54	15.8	51.996	0.037975995
24052.70c	$Cr-52	0.83789	3.042	0.76	51.996	0.037975995
24053.70c	$Cr-53	0.09501	8.15	18.1	51.996	0.037975995
24054.70c	$Cr-54	0.02365	2.6	0.36	51.996	0.037975995
25055.70c	$Mn-55	1	2.15	13.3	54.938	0.03596687
26054.70c	$Fe-54	0.05845	2.2	2.25	55.845	0.035389652
26056.70c	$Fe-56	0.91754	12.42	2.59	55.845	0.035389652
26057.70c	$Fe-57	0.02119	1	2.48	55.845	0.035389652
26058.70c	$Fe-58	0.00282	28	1.28	55.845	0.035389652
28058.70c	$Ni-58	0.680769	26.1	4.6	58.693	0.033691817
28060.70c	$Ni-60	0.262231	0.99	2.9	58.693	0.033691817
28062.70c	$Ni-61	0.011399	9.2	2.5	58.693	0.033691817
28061.70c	$Ni-62	0.036345	9.5	14.5	58.693	0.033691817
28064.70c	$Ni-64	0.009256	0.017	1.52	58.693	0.033691817
35079.70c	$Br-79	0.5069	5.96	11	79.904	0.024822496
35081.70c	$Br-81	0.4931	5.84	2.7	79.904	0.024822496
62144.70c	$Sm-144	0.031	1	0.7	150.36	0.013242629
62147.70c	$Sm-147	0.15	39	57	150.36	0.013242629
62148.70c	$Sm-148	0.1124	1	2.4	150.36	0.013242629
62149.70c	$Sm-149	0.138	200	42080	150.36	0.013242629
62150.70c	$Sm-150	0.074	25	104	150.36	0.013242629
62152.70c	$Sm-152	0.267	3.1	206	150.36	0.013242629
62154.70c	$Sm-154	0.227	11	8.4	150.36	0.013242629
63000.70c	$Eu	1	9.2	4530	151.96	0.013103807
64152.70c	$Gd-152	0.002	13	735	157.25	0.012664851
64154.70c	$Gd-154	0.0218	13	85	157.25	0.012664851
64155.70c	$Gd-155	0.148	66	61100	157.25	0.012664851
64156.70c	$Gd-156	0.2047	5	1.5	157.25	0.012664851
64157.70c	$Gd-157	0.1565	1044	259000	157.25	0.012664851
64158.70c	$Gd-158	0.2484	10	2.2	157.25	0.012664851
64160.70c	$Gd-160	0.2186	10.52	0.77	157.25	0.012664851
90232.70c	$Th	1	13.36	7.37	232.04	0.008594493
92238.70c	$U	1	8.908	7.57	238.03	0.008378819
27059.66c	$Co	1	5.6	37.18	58.93	0.03355784292516639
29063.70c	$Cu-63	0.6917	5.2	4.5	63.546	0.031145640394749097
29065.70c	$Cu-65	0.3083	14.5	2.17	63.546	0.031145640394749097
